"","species_code","days","mass_init","mass_rem","fTreatment","fTub","sp_abrev","species","family","gf","gf_old","LAM","DMC","N","C","HC_1","HC_2","CL","LG","wt_type","HC","mRem","mInit","t"
"1","A",0,3870,3870,"inundated","A 1","J. amabilis","Juncus_amabilis","Juncaceae","AT","G",-1.17830949173589,0.921223334370638,-0.0167863179139217,0.633371215218599,NA,21.5534446122918,0.681608323849649,-0.289804195811311,"mean",0.902624392511577,8.26100978602383,8.26100978602383,0
"2","A",0,3870,3870,"inundated","A 2","J. amabilis","Juncus_amabilis","Juncaceae","AT","G",-1.17830949173589,0.921223334370638,-0.0167863179139217,0.633371215218599,NA,21.5534446122918,0.681608323849649,-0.289804195811311,"mean",0.902624392511577,8.26100978602383,8.26100978602383,0
"3","A",0,3870,3870,"inundated","A 3","J. amabilis","Juncus_amabilis","Juncaceae","AT","G",-1.17830949173589,0.921223334370638,-0.0167863179139217,0.633371215218599,NA,21.5534446122918,0.681608323849649,-0.289804195811311,"mean",0.902624392511577,8.26100978602383,8.26100978602383,0
"4","A",14,4220,3720,"inundated","A 1","J. amabilis","Juncus_amabilis","Juncaceae","AT","G",-1.17830949173589,0.921223334370638,-0.0167863179139217,0.633371215218599,NA,21.5534446122918,0.681608323849649,-0.289804195811311,"mean",0.902624392511577,8.22147894726719,8.34759040703006,0.0383561643835616
"5","A",14,4230,3730,"inundated","A 2","J. amabilis","Juncus_amabilis","Juncaceae","AT","G",-1.17830949173589,0.921223334370638,-0.0167863179139217,0.633371215218599,NA,21.5534446122918,0.681608323849649,-0.289804195811311,"mean",0.902624392511577,8.22416351263786,8.34995727204032,0.0383561643835616
"6","A",14,3980,3380,"inundated","A 3","J. amabilis","Juncus_amabilis","Juncaceae","AT","G",-1.17830949173589,0.921223334370638,-0.0167863179139217,0.633371215218599,NA,21.5534446122918,0.681608323849649,-0.289804195811311,"mean",0.902624392511577,8.12563098847706,8.28903709827848,0.0383561643835616
"7","A",28,4060,3590,"inundated","A 1","J. amabilis","Juncus_amabilis","Juncaceae","AT","G",-1.17830949173589,0.921223334370638,-0.0167863179139217,0.633371215218599,NA,21.5534446122918,0.681608323849649,-0.289804195811311,"mean",0.902624392511577,8.18590748148232,8.30893825259578,0.0767123287671233
"8","A",28,3960,3270,"inundated","A 2","J. amabilis","Juncus_amabilis","Juncaceae","AT","G",-1.17830949173589,0.921223334370638,-0.0167863179139217,0.633371215218599,NA,21.5534446122918,0.681608323849649,-0.289804195811311,"mean",0.902624392511577,8.0925452638913,8.28399930424853,0.0767123287671233
"9","A",28,4180,3680,"inundated","A 3","J. amabilis","Juncus_amabilis","Juncaceae","AT","G",-1.17830949173589,0.921223334370638,-0.0167863179139217,0.633371215218599,NA,21.5534446122918,0.681608323849649,-0.289804195811311,"mean",0.902624392511577,8.21066803116298,8.3380665255188,0.0767123287671233
"10","A",42,4300,3770,"inundated","A 1","J. amabilis","Juncus_amabilis","Juncaceae","AT","G",-1.17830949173589,0.921223334370638,-0.0167863179139217,0.633371215218599,NA,21.5534446122918,0.681608323849649,-0.289804195811311,"mean",0.902624392511577,8.23483028044206,8.36637030168165,0.115068493150685
"11","A",42,4150,3400,"inundated","A 2","J. amabilis","Juncus_amabilis","Juncaceae","AT","G",-1.17830949173589,0.921223334370638,-0.0167863179139217,0.633371215218599,NA,21.5534446122918,0.681608323849649,-0.289804195811311,"mean",0.902624392511577,8.13153071060425,8.33086361322474,0.115068493150685
"12","A",42,4290,3750,"inundated","A 3","J. amabilis","Juncus_amabilis","Juncaceae","AT","G",-1.17830949173589,0.921223334370638,-0.0167863179139217,0.633371215218599,NA,21.5534446122918,0.681608323849649,-0.289804195811311,"mean",0.902624392511577,8.22951111896446,8.36404201192206,0.115068493150685
"13","A",84,4200,3430,"inundated","A 1","J. amabilis","Juncus_amabilis","Juncaceae","AT","G",-1.17830949173589,0.921223334370638,-0.0167863179139217,0.633371215218599,NA,21.5534446122918,0.681608323849649,-0.289804195811311,"mean",0.902624392511577,8.14031554015999,8.34283980427146,0.23013698630137
"14","A",84,4080,3270,"inundated","A 2","J. amabilis","Juncus_amabilis","Juncaceae","AT","G",-1.17830949173589,0.921223334370638,-0.0167863179139217,0.633371215218599,NA,21.5534446122918,0.681608323849649,-0.289804195811311,"mean",0.902624392511577,8.0925452638913,8.31385226739821,0.23013698630137
"15","A",84,4030,3510,"inundated","A 3","J. amabilis","Juncus_amabilis","Juncaceae","AT","G",-1.17830949173589,0.921223334370638,-0.0167863179139217,0.633371215218599,NA,21.5534446122918,0.681608323849649,-0.289804195811311,"mean",0.902624392511577,8.16337131645991,8.30152165494073,0.23013698630137
"16","A",168,3950,2700,"inundated","A 1","J. amabilis","Juncus_amabilis","Juncaceae","AT","G",-1.17830949173589,0.921223334370638,-0.0167863179139217,0.633371215218599,NA,21.5534446122918,0.681608323849649,-0.289804195811311,"mean",0.902624392511577,7.90100705199242,8.28147085789517,0.46027397260274
"17","A",168,3950,2530,"inundated","A 2","J. amabilis","Juncus_amabilis","Juncaceae","AT","G",-1.17830949173589,0.921223334370638,-0.0167863179139217,0.633371215218599,NA,21.5534446122918,0.681608323849649,-0.289804195811311,"mean",0.902624392511577,7.83597458172157,8.28147085789517,0.46027397260274
"18","A",168,4030,2500,"inundated","A 3","J. amabilis","Juncus_amabilis","Juncaceae","AT","G",-1.17830949173589,0.921223334370638,-0.0167863179139217,0.633371215218599,NA,21.5534446122918,0.681608323849649,-0.289804195811311,"mean",0.902624392511577,7.82404601085629,8.30152165494073,0.46027397260274
